last update,admin1,admin2,admin3,admin4,pcode_sites,governorate,district,sub_district,community,"cluster ",site_name,gps_coordinates,site_type,site_size,total_idp_individuals,total_idp_families,male_infants,female_infants,males_7_months_4_years,females_7_months_4_years,males_5_12_years,females_5_12_years,males_13_17_years,females_13_17_years,males_18_35_years,females_18_35_years,males_over_60_years,females_over_60_years,main_source_of_population_info,specify_source_of_pop_info,original_place_of_idps,governorate_first_origin,district_first_origin,subdistrict_first_origin,governorate_second_origin,district_second_origin,subdistrict_second_origin,governorate_third_origin,district_third_origin,subdistrict_third_origin,what_are_the_reasons_of_displacement,specify_other_reasons_of_displacement,is_there_only_a_single_manager,is_there_a_camp_committee,type_of_the_committee,specify_type_of_committee,percent_of_women_in_committee,percent_of_youth_in_committee,percent_of_elderly_in_committee,is_the_land_public_or_private,do_idps_pay_rent_or_perform_services,lighting_on_main_roads,lighting_in_paths_between_tents,camp_fenced,does_camp_need_fence,why_need_fence,main_roads_paved,main_roads_gravelled,paths_between_tents_paved,gravelling_underneath_tents,heating_in_idp_accomodations,what_type_power_source_available,specify_type_of_power_source_available,is_power_source_needed_in_site,what_type_power_source_needed,specify_type_of_power_source_needed,number_of_firebreaks,number_of_play_ground,number_of_multi_purp_building,designated_room_for_girls_women,is_there_a_child_friendly_space,designated_distribution_point,mobile_phone_coverage,internet_coverage,main_safety_concerns_for_idps,specify_main_safety_concerns,number_of_pregnant_women,number_of_person_with_disabilities,number_of_person_with_mental_disabilities,number_of_elderly_need_assistance,number_of_unaccompanied_children_under_17,number_of_separated_children_under_17,number_of_female_headed_hhs,number_of_children_headed_hhs,number_of_acute_or_chronically_ill_people,has_there_been_any_uxo_in_site,has_there_been_any_uxo_nearby_site,is_there_any_friction_with_host_community,is_there_any_food_distribution,type_of_food_distributed,specify_type_of_food,frequency_of_food_distribution,specify_other_frequency,what_meals_provided_in_a_day,how_much_kcal,percent_of_idps_assisted_with_food,idps_mainly_get_their_food_from,specify_source_of_food,number_of_communal_kitchens,type_and_number_of_shelters,specify_type_of_shelter,number_of_tents,number_of_caravans,number_of_makeshift_tents,number_of_buildings,number_of_mud_shelters,number_of_communal_tents,specify_number_of_other_shelter,number_of_families_without_shelter,number_of_shelters_need_repair,number_of_shelters_in_flood_prone,percent_of_idps_with_one_blanket,percent_of_person_with_mattress,percent_of_families_with_kitchen_sets,percent_of_families_with_cooking_stoves,percent_of_families_with_20l_water_container,is_there_any_fuel_distribution,what_type_fuel_distributed,how_much_fuel_provided_per_family,what_is_fuel_used_for,main_sources_of_drinking_water,specify_main_source_of_water,number_of_litres_of_water_per_person_per_day,number_of_functioning_latrines_segregated,number_of_functioning_latrines_for_male_only,number_of_functioning_latrines_for_female_only,number_of_functioning_private_latrines,number_of_functioning_segregated_showers_baths,number_of_functioning_showers_baths_male_only,number_of_functioning_showers_baths_female_only,number_of_functioning_private_bathing_facilities,number_of_hand_or_clothes_washing_station,latrine_doors_can_be_locked,lighting_in_or_near_latrines,number_of_water_tanks,water_tanks_capacity,number_of_septic_tanks,capacity_of_septic_tanks_overall,number_of_functional_water_points,is_there_any_drainage_ducts_along_roads,is_there_any_additional_drainage_ducts,is_there_any_drainage_among_tents,mainline_sewer_connection,main_means_of_solid_waste_disposal,specify_the_main_waste_disposal,is_first_aid_responders_available,is_pharmacy_or_dispensary_available,reproductive_healthcare,primary_health_care_within_2_km_available,in_the_last_2_weeks_idps_experiencing_diarrhea,in_the_last_2_weeks_idps_experiencing_fever,in_the_last_2_weeks_idps_experiencing_skin_diseases,in_the_last_2_weeks_idps_experiencing_respiratory_illness,did_the_camp_have_a_death_last_30_days,distance_in_kilometers_to_nearest_school,percent_of_school_aged_children_going_school_6_17,is_there_a_primary_school,classroom_setting_in_primary_school,specify_classroom_setting_in_primary_school,number_of_classrooms_in_primary_school,number_of_teachers_in_primary_school,number_of_students_in_primary_school,is_there_a_secondary_school,classroom_setting_in_secondary_school,specify_classroom_setting_in_secondary_school,number_of_classrooms_in_secondary_school,number_of_teachers_in_secondary_school,number_of_students_in_secondary_school,is_there_educational_activities_available,specify_type_of_educational_activities,geopoint_latitude,geopoint_longitude
Not covered,SY02,SY0208,SY020800,C2227,CP000016,Aleppo/حلب,Jarablus/جرابلس,Jarablus/مركز جرابلس,Jarablus/جرابلس,Jarablus/ جرابلس,Jarablus (Youth Centre)/ الشبيبة,"36.85050328,38.04155",IS,,405,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.85050328,38.04155
August 2017,SY02,SY0208,SY020800,C2227,CP000017,Aleppo/حلب,Jarablus/جرابلس,Jarablus/مركز جرابلس,Jarablus/جرابلس,Jarablus/ جرابلس,Jarablus 4 (Jbel)/ المخيم رقم 4 (جبل),"36.837979,38.046915",IS,,9488,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.837979,38.046915
April 2018,SY07,SY0703,SY070301,C4127,CP000044,Idleb/إدلب,Harim/حارم,Dana/دانا,Aqrabat (Dana)/عقربات - دانا,Salam/ سلام,"Aqrabat (Ahl Al-Athar)/ عقرباط (اهل الاثر) ","36.221512,36.629882",IS,0,673,150,0,0,0,0,0,0,0,0,0,0,0,0,camp_manager,0,no,0,0,0,0,0,0,0,0,0,fear_of_shelling escalation_of_conflict safety_concerns tension_with_landlord lack_of_access_to_livelihoods,0,yes,yes,community_representatives,0,do_not_know,do_not_know,do_not_know,private,pay_rent,1_25_percent,do_not_know,0_percent,do_not_know,0,do_not_know,do_not_know,1_25_percent,1_25_percent,0_percent,generator solar_energy,0,yes,solar_energy,0,0,0,0,do_not_know,do_not_know,do_not_know,26_50_percent,51_75_percent,armed_violence aerial_attacks killing_executions kidnapping_disappearances arrest_detention,0,0,0,0,0,0,0,0,0,0,do_not_know,do_not_know,do_not_know,yes,food_baskets,0,monthly,0,0,2100,76_99_percent,local_ngo,0,0,tents,0,100,0,0,0,0,0,0,0,0,0,do_not_know,do_not_know,do_not_know,do_not_know,do_not_know,do_not_know,0,0,0,trucked_water_free,0,27,3,6,6,0,0,0,0,0,0,yes,do_not_know,0,0,0,0,0,do_not_know,do_not_know,do_not_know,do_not_know,collective_bin,0,do_not_know,do_not_know,do_not_know,do_not_know,do_not_know,do_not_know,do_not_know,do_not_know,do_not_know,0,do_not_know,do_not_know,0,0,0,0,0,do_not_know,0,0,0,0,0,yes,توعية,36.221512,36.629882
Not covered,SY07,SY0703,SY070301,C4126,CP000045,Idleb/إدلب,Harim/حارم,Dana/دانا,Dana (Dana)/الدانا - دانا,Dana/ دانا,Al Dana/ الدانا,"36.22069,36.705731",IS,,183,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.22069,36.705731
August 2017,SY07,SY0703,SY070301,C4130,CP000059,Idleb/إدلب,Harim/حارم,Dana/دانا,Atma/اطمه,Atma/ اطمه,Atmeh/ أطمه,"36.389744,36.686102",IS,,66234,11370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.389744,36.686102
Not covered,SY07,SY0703,SY070301,C6389,CP000060,Idleb/إدلب,Harim/حارم,Dana/دانا,Bab El Hawa (Dana)/باب الهوى - دانا,Bab Al Hawa/ باب الهوى,Al Nahdha/ النهضة,"36.106156,36.387444",IS,,493,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.106156,36.387444
Not covered,SY07,SY0703,SY070301,C4121,CP000062,Idleb/إدلب,Harim/حارم,Dana/دانا,Sarmada/سرمدا,Sarmada/ سرمدا,Al Sadaka/ الصدقة,"36.131799,36.614381",IS,,805,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.131799,36.614381
Not covered,SY07,SY0703,SY070301,C4121,CP000063,Idleb/إدلب,Harim/حارم,Dana/دانا,Sarmada/سرمدا,Sarmada/ سرمدا,Al Ummah/ الامة (عمر بن الخطاب),"36.247425,36.702068",IS,,680,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.247425,36.702068
Not covered,SY07,SY0703,SY070301,C6389,CP000064,Idleb/إدلب,Harim/حارم,Dana/دانا,Bab El Hawa (Dana)/باب الهوى - دانا,Bab Al Hawa/ باب الهوى,"Al Ummahat/ الامهات ","36.158152,36.554392",IS,,680,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.158152,36.554392
Not covered,SY07,SY0703,SY070301,C4121,CP000065,Idleb/إدلب,Harim/حارم,Dana/دانا,Sarmada/سرمدا,Sarmada/ سرمدا,Ariha/ أريحا,"36.15315,36.6902",IS,,320,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.15315,36.6902
Not covered,SY07,SY0703,SY070301,C6389,CP000066,Idleb/إدلب,Harim/حارم,Dana/دانا,Bab El Hawa (Dana)/باب الهوى - دانا,Bab Al Hawa/ باب الهوى,"Aycha/ ايجا ","36.267583,36.692415",IS,,1063,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.267583,36.692415
Not covered,SY07,SY0703,SY070301,C6389,CP000067,Idleb/إدلب,Harim/حارم,Dana/دانا,Bab El Hawa (Dana)/باب الهوى - دانا,Bab Al Hawa/ باب الهوى,Shahba'1 (Bab Al Hawa Lower/1)/ الشهبا 1,"36.205383,36.79514",IS,,715,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.205383,36.79514
December 2017,SY07,SY0703,SY070301,C6389,CP000069,Idleb/إدلب,Harim/حارم,Dana/دانا,Bab El Hawa (Dana)/باب الهوى - دانا,Bab Al Hawa/ باب الهوى,Othman Bin Affan (Bab El Hawa) /  (باب الهوى) عثمان بن عفان,"36.131003,36.651884",IS,38000,2517,475,43,51,136,152,301,314,95,73,622,670,28,32,camp_manager,,yes,SY06,SY0603,SY060300,SY05,SY0501,SY050103,SY06,SY060000,SY060000,fear_of_shellling escalation_of_conflict safety_concerns lack_of_acces_to_livelihoods,,yes,yes,care_and_maintenance safety_and_security distribution_committee,,0_percent,76_99_percent,1_25_percent,public,no_rent_no_services,0_percent,0_percent,0_percent,yes,,26_50_percent,51_75_percent,51_75_percent,76_99_percent,0_percent,not_available,,yes,solar_energy,,4,1,4,yes,yes,yes,100_percent,76_99_percent,aerial_attacks kidnapping_disappearances,,0,0,0,0,0,0,0,0,0,no,no,no,yes,food_baskets,,monthly,,,000,76_99_percent,local_ngo ingo,,0,tents,,475,0,0,0,,0,0,35,104,0,51_75_percent,1_25_percent,51_75_percent,26_50_percent,26_50_percent,no,,,,trucked_water_free well,,27,0,36,36,60,0,0,0,0,0,yes,yes,1,,0,,0,no,no,yes,yes,collective_bin,,no,no,no,yes,1_25_percent,0_percent,0_percent,1_25_percent,no,1,76_99_percent,yes,container,,18,33,600,yes,room_in_building,,2,3,90,no,,36.131003,36.651884
Not covered,SY07,SY0703,SY070301,C6389,CP000070,Idleb/إدلب,Harim/حارم,Dana/دانا,Bab El Hawa (Dana)/باب الهوى - دانا,Bab Al Hawa/ باب الهوى,Shahba'2/ الشهبا 2,"36.21557,36.65747",IS,,403,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.21557,36.65747
Not covered,SY07,SY0703,SY070301,C4121,CP000071,Idleb/إدلب,Harim/حارم,Dana/دانا,Sarmada/سرمدا,Sarmada/ سرمدا,Taiba City/ مدينه طيبه,"36.214942,36.594669",IS,,1752,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.214942,36.594669
