csv_field,alias,,type,category,choices,traffic_light,chart,chart_details
number_of_tents,Number of tents ,integer,integer,Shelter,,,,
number_of_caravans,Number of caravans ,integer,integer,Shelter,,,,
number_of_makeshift_tents,Number of makeshift tents ,integer,integer,Shelter,,,,
number_of_buildings,Number of buildings ,integer,integer,Shelter,,,,
number_of_mud_shelters,Number of mud shelters ,integer,integer,Shelter,,,,
number_of_communal_tents,Number of communal tents ,integer,integer,Shelter,,,,
specify_number_of_other_shelter,Number of other type of shelter ,integer,integer,Shelter,,,,
number_of_families_without_shelter,Number of families without shelter (incl. families forced to share),integer,integer,Shelter,,,,
number_of_shelters_need_repair,Number of shelters in need of immediate repair ,integer,integer,Shelter,,,,
number_of_shelters_in_flood_prone,Number of shelters located in flood prone areas ,integer,integer,Shelter,,,,
percent_of_idps_with_one_blanket,Percent of IDPs with 1 blanket or quilt per person ,select_one percentage,string,Shelter,percentage,percentage_nfis,,
percent_of_person_with_mattress,Percent of per person with a mattress ,select_one percentage,string,Shelter,percentage,percentage_nfis,,
percent_of_families_with_kitchen_sets,Percent of families with kitchen sets ,select_one percentage,string,Shelter,percentage,percentage_nfis,,
percent_of_families_with_cooking_stoves,Percent of families with cooking stoves ,select_one percentage,string,Shelter,percentage,percentage_nfis,,
percent_of_families_with_20L_water_container,Percent of families with at least one 20L water container ,select_one percentage,string,Shelter,percentage,percentage_nfis,,
is_there_any_fuel_distribution,Is there any fuel distribution in the camp?,select_one yesnodnk,string,Shelter,yesnodnk,yesnodnk,,
what_type_fuel_distributed,What type of fuel is distributed?,select_multiple typeoffuel,list,Shelter,typeoffuel,,,
how_much_fuel_provided_per_family,How much fuel is provided per family per month?,text,string,Shelter,,,,
what_is_fuel_used_for,What is the fuel used for?,select_multiple fuelusedfor,list,Shelter,fuelusedfor,,,
main_sources_of_drinking_water,Main sources of drinking water. (Select all that apply) ,select_multiple watersource,list,WASH,watersource,,,
specify_main_source_of_water,Please specify other ,text,integer,WASH,,,,
number_of_litres_of_water_per_person_per_day,Number of litres of water per person per day ,integer,integer,WASH,,,,
number_of_functioning_latrines_segregated,Number of functioning latrines non-segregated ,integer,integer,WASH,,,,
number_of_functioning_latrines_for_male_only,Number of functioning latrines for male only ,integer,integer,WASH,,,,
number_of_functioning_latrines_for_female_only,Number of functioning latrines for female only ,integer,integer,WASH,,,,
number_of_functioning_private_latrines,Number of functioning private latrines ,integer,integer,WASH,,,,
number_of_functioning_segregated_showers_baths,Number of functioning showering,integer,integer,WASH,,,,
number_of_functioning_showers_baths_male_only,Number of functioning showering,integer,integer,WASH,,,,
number_of_functioning_showers_baths_female_only,Number of functioning showering,integer,integer,WASH,,,,
number_of_functioning_private_bathing_facilities,Number of functioning private showering,integer,integer,WASH,,,,
number_of_hand_or_clothes_washing_station,Number of hand &,integer,integer,WASH,,,,
latrine_doors_can_be_locked,Latrine doors can be locked ,select_one yesnodnk,string,WASH,yesnodnk,,,
lighting_in_or_near_latrines,Lighting in or near latrines ,select_one yesnodnk,string,WASH,yesnodnk,,,
number_of_water_tanks,Number of water tanks ,integer,integer,WASH,,,,
water_tanks_capacity,"Capacity of water tanks (overall), in cubic meters ",text,string,WASH,,,,
number_of_septic_tanks,Number of septic tanks ,integer,integer,WASH,,,,
capacity_of_septic_tanks_overall,"Capacity of septic tanks (overall), in cubic meters ",text,string,WASH,,,,
number_of_functional_water_points,Number of functional water points ,integer,integer,WASH,,,,
is_there_any_drainage_ducts_along_roads,Is there any drainage ducts along main roads? ,select_one yesnodnk,string,WASH,yesnodnk,yesnodnk,,
is_there_any_additional_drainage_ducts,Is there any additional drainage ducts in case of storm and flood? ,select_one yesnodnk,string,WASH,yesnodnk,yesnodnk,,
is_there_any_drainage_among_tents,Is there any drainage ducts among tents? ,select_one yesnodnk,string,WASH,yesnodnk,yesnodnk,,
mainline_sewer_connection,Is there a mainline sewer connection? ,select_one yesnodnk,string,WASH,yesnodnk,yesnodnk,,
main_means_of_solid_waste_disposal,Main means of solid waste disposal. (Select all that apply) ,select_multiple wastedisposal,list,WASH,wastedisposal,wastedisposal,,
specify_the_main_waste_disposal,Please specify other ,text,string,WASH,,,,
is_first_aid_responders_available,Is first aid responders available? ,select_one yesnodnk,string,Health,yesnodnk,yesnodnk,,
is_pharmacy_or_dispensary_available,Is pharmacy or dispensary available? ,select_one yesnodnk,string,Health,yesnodnk,yesnodnk,,
reproductive_healthcare,Is there a reproductive healthcare?,select_one yesnodnk,string,Health,yesnodnk,yesnodnk,,
primary_health_care_within_2_km_available,Is there a primary healthcare available within 2 km? ,select_one yesnodnk,string,Health,yesnodnk,yesnodnk,,
in_the_last_2_weeks_idps_experiencing_diarrhea,"In the last 2 weeks, % of IDPs experiencing - Diarrhea ",select_one percentage,string,Health,percentage,percentage_health,,
in_the_last_2_weeks_idps_experiencing_fever,"In the last 2 weeks, % of IDPs experiencing - Fever ",select_one percentage,string,Health,percentage,percentage_health,,
in_the_last_2_weeks_idps_experiencing_skin_diseases,"In the last 2 weeks, % of IDPs experiencing - Skin Diseases ",select_one percentage,string,Health,percentage,percentage_health,,
in_the_last_2_weeks_idps_experiencing_respiratory_illness,"In the last 2 weeks, % of IDPs experiencing - Respiratory illness ",select_one percentage,string,Health,percentage,percentage_health,,
did_the_camp_have_a_death_last_30_days,Did the camp have a death in the last 30 days? ,select_one yesnodnk,string,Health,yesnodnk,yesnodnk,,
distance_in_kilometers_to_nearest_school,Distance in kilometers to the nearest school ,integer,integer,Education,,,,
percent_of_school_aged_children_going_school_6_17,Percent of school aged children (6-17) going to school,select_one percentage,string,Education,percentage,percentage_edu,,
is_there_a_primary_school,Is there a primary school? ,select_one yesnodnk,string,Education,yesnodnk,yesnodnk,,
classroom_setting_in_primary_school,Classroom setting in primary school ,select_one classroomsetting,string,Education,,,,
specify_classroom_setting_in_primary_school,Please specify other ,text,string,Education,,,,
number_of_classrooms_in_primary_school,Number of classrooms ,integer,integer,Education,,,,
number_of_teachers_in_primary_school,Number of teachers ,integer,integer,Education,,,,
number_of_students_in_primary_school,Number of students ,integer,integer,Education,,,,
is_there_a_secondary_school,Is there a secondary school ,select_one yesnodnk,string,Education,yesnodnk,yesnodnk,,
classroom_setting_in_secondary_school,Classroom setting in secondary school ,select_one classroomsetting,string,Education,classroomsetting,,,
specify_classroom_setting_in_secondary_school,Please specify other ,text,string,Education,,,,
number_of_classrooms_in_secondary_school,Number of classrooms ,integer,integer,Education,,,,
number_of_teachers_in_secondary_school,Number of teachers ,integer,integer,Education,,,,
number_of_students_in_secondary_school,Number of students ,integer,integer,Education,,,,
is_there_educational_activities_available,Is there educational activities available in camp? ,select_one yesnodnk,string,Education,yesnodnk,yesnodnk,,
specify_type_of_educational_activities,Please specify type of the educational activities ,text,string,Education,,,,
